Real:Fraud Claims Ratio,Precision,Recall,F1
100,0.8640776699029126,0.8811881188118812,0.8725490196078431
102,0.8476190476190476,0.8811881188118812,0.8640776699029126
104,0.822429906542056,0.8712871287128713,0.8461538461538461
106,0.8725490196078431,0.8811881188118812,0.8768472906403941
108,0.8640776699029126,0.8811881188118812,0.8725490196078431
110,0.8640776699029126,0.8811881188118812,0.8725490196078431
112,0.8640776699029126,0.8811881188118812,0.8725490196078431
114,0.8557692307692307,0.8811881188118812,0.8682926829268293
116,0.8543689320388349,0.8712871287128713,0.8627450980392157
118,0.8613861386138614,0.8613861386138614,0.8613861386138614
120,0.8571428571428571,0.8910891089108911,0.8737864077669902
122,0.8653846153846154,0.8910891089108911,0.8780487804878049
124,0.8712871287128713,0.8712871287128713,0.8712871287128713
126,0.8712871287128713,0.8712871287128713,0.8712871287128713
128,0.8787878787878788,0.8613861386138614,0.87
130,0.9081632653061225,0.8811881188118812,0.8944723618090452
132,0.8446601941747572,0.8613861386138614,0.8529411764705882
134,0.8888888888888888,0.8712871287128713,0.88
136,0.8640776699029126,0.8811881188118812,0.8725490196078431
138,0.8969072164948454,0.8613861386138614,0.8787878787878788
140,0.8712871287128713,0.8712871287128713,0.8712871287128713
142,0.8787878787878788,0.8613861386138614,0.87
144,0.8333333333333334,0.8910891089108911,0.861244019138756
146,0.8811881188118812,0.8811881188118812,0.8811881188118812
148,0.8543689320388349,0.8712871287128713,0.8627450980392157
150,0.8823529411764706,0.8910891089108911,0.8866995073891626
152,0.9072164948453608,0.8712871287128713,0.8888888888888888
154,0.8712871287128713,0.8712871287128713,0.8712871287128713
156,0.8712871287128713,0.8712871287128713,0.8712871287128713
158,0.88,0.8712871287128713,0.8756218905472637
160,0.87,0.8613861386138614,0.8656716417910447
162,0.8653846153846154,0.8910891089108911,0.8780487804878049
164,0.8787878787878788,0.8613861386138614,0.87
166,0.8787878787878788,0.8613861386138614,0.87
168,0.8446601941747572,0.8613861386138614,0.8529411764705882
170,0.87,0.8613861386138614,0.8656716417910447
172,0.8557692307692307,0.8811881188118812,0.8682926829268293
174,0.8854166666666666,0.8415841584158416,0.8629441624365483
176,0.8958333333333334,0.8514851485148515,0.8730964467005076
178,0.9148936170212766,0.8514851485148515,0.882051282051282
180,0.9052631578947369,0.8514851485148515,0.8775510204081632
182,0.8979591836734694,0.8712871287128713,0.8844221105527639
184,0.8888888888888888,0.8712871287128713,0.88
186,0.8877551020408163,0.8613861386138614,0.8743718592964824
188,0.9239130434782609,0.8415841584158416,0.8808290155440415
190,0.86,0.8514851485148515,0.8557213930348259
192,0.9052631578947369,0.8514851485148515,0.8775510204081632
194,0.86,0.8514851485148515,0.8557213930348259
196,0.8947368421052632,0.8415841584158416,0.8673469387755102
198,0.8762886597938144,0.8415841584158416,0.8585858585858586
200,0.9052631578947369,0.8514851485148515,0.8775510204081632
202,0.8969072164948454,0.8613861386138614,0.8787878787878788
204,0.86,0.8514851485148515,0.8557213930348259
206,0.8969072164948454,0.8613861386138614,0.8787878787878788
208,0.8854166666666666,0.8415841584158416,0.8629441624365483
210,0.9042553191489362,0.8415841584158416,0.8717948717948718
212,0.8865979381443299,0.8514851485148515,0.8686868686868687
214,0.9139784946236559,0.8415841584158416,0.8762886597938144
216,0.925531914893617,0.8613861386138614,0.8923076923076924
218,0.8877551020408163,0.8613861386138614,0.8743718592964824
220,0.9148936170212766,0.8514851485148515,0.882051282051282
222,0.8969072164948454,0.8613861386138614,0.8787878787878788
224,0.9052631578947369,0.8514851485148515,0.8775510204081632
226,0.9139784946236559,0.8415841584158416,0.8762886597938144
228,0.8947368421052632,0.8415841584158416,0.8673469387755102
230,0.8947368421052632,0.8415841584158416,0.8673469387755102
232,0.9139784946236559,0.8415841584158416,0.8762886597938144
234,0.9139784946236559,0.8415841584158416,0.8762886597938144
236,0.9042553191489362,0.8415841584158416,0.8717948717948718
238,0.87,0.8613861386138614,0.8656716417910447
240,0.9120879120879121,0.8217821782178217,0.8645833333333334
242,0.9139784946236559,0.8415841584158416,0.8762886597938144
244,0.9139784946236559,0.8415841584158416,0.8762886597938144
246,0.8947368421052632,0.8415841584158416,0.8673469387755102
248,0.9042553191489362,0.8415841584158416,0.8717948717948718
250,0.9239130434782609,0.8415841584158416,0.8808290155440415
252,0.9052631578947369,0.8514851485148515,0.8775510204081632
254,0.9042553191489362,0.8415841584158416,0.8717948717948718
256,0.8947368421052632,0.8415841584158416,0.8673469387755102
258,0.8958333333333334,0.8514851485148515,0.8730964467005076
260,0.9239130434782609,0.8415841584158416,0.8808290155440415
262,0.9139784946236559,0.8415841584158416,0.8762886597938144
264,0.9139784946236559,0.8415841584158416,0.8762886597938144
266,0.9148936170212766,0.8514851485148515,0.882051282051282
268,0.9042553191489362,0.8415841584158416,0.8717948717948718
270,0.8854166666666666,0.8415841584158416,0.8629441624365483
272,0.9148936170212766,0.8514851485148515,0.882051282051282
274,0.8947368421052632,0.8415841584158416,0.8673469387755102
276,0.8865979381443299,0.8514851485148515,0.8686868686868687
278,0.9239130434782609,0.8415841584158416,0.8808290155440415
280,0.9340659340659341,0.8415841584158416,0.8854166666666666
282,0.9239130434782609,0.8415841584158416,0.8808290155440415
284,0.9239130434782609,0.8415841584158416,0.8808290155440415
286,0.9052631578947369,0.8514851485148515,0.8775510204081632
288,0.9139784946236559,0.8415841584158416,0.8762886597938144
290,0.9052631578947369,0.8514851485148515,0.8775510204081632
292,0.9247311827956989,0.8514851485148515,0.8865979381443299
294,0.9139784946236559,0.8415841584158416,0.8762886597938144
296,0.9333333333333333,0.8316831683168316,0.8795811518324608
298,0.9052631578947369,0.8514851485148515,0.8775510204081632
